state,county,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
02,068,050,0500000US02068,00,Denali Borough,02,068,,,,,,,,,,1826,1746,1637,10,65,19,1,14,80,79,1,0,0,0,1826,42,1784,1713,1614,10,64,19,1,5,71,70,1,0,0,0,1415,1369,1282,9,52,15,1,10,46,46,0,0,0,0,1415,30,1385,1346,1266,9,52,15,1,3,39,39,0,0,0,0,1771,806,965
02,070,050,0500000US02070,00,Dillingham Census Area,02,070,,,,,,,,,,4847,4409,878,11,3470,32,6,12,438,408,28,2,0,0,4847,101,4746,4336,855,11,3431,32,6,1,410,382,26,2,0,0,3252,3039,757,8,2233,23,6,12,213,203,10,0,0,0,3252,57,3195,2993,737,8,2218,23,6,1,202,193,9,0,0,0,2427,1563,864
02,090,050,0500000US02090,00,Fairbanks North Star Borough,02,090,,,,,,,,,,97581,90910,75175,4423,6879,2591,396,1446,6671,6182,437,51,1,0,97581,5651,91930,86160,72259,4154,6669,2512,375,191,5770,5388,357,24,1,0,72580,69345,57906,3109,4896,2118,265,1051,3235,3052,157,25,1,0,72580,3496,69084,66186,55990,2969,4777,2061,254,135,2898,2752,132,13,1,0,41783,36441,5342
02,100,050,0500000US02100,00,Haines Borough,02,100,,,,,,,,,,2508,2361,2086,10,230,14,0,21,147,134,13,0,0,0,2508,47,2461,2324,2062,9,227,13,0,13,137,130,7,0,0,0,2009,1912,1700,8,183,13,0,8,97,90,7,0,0,0,2009,32,1977,1887,1682,7,181,12,0,5,90,86,4,0,0,0,1631,1149,482
02,105,050,0500000US02105,00,Hoonah-Angoon Census Area,02,105,,,,,,,,,,2150,1931,1014,8,890,12,1,6,219,205,13,1,0,0,2150,77,2073,1864,993,8,850,12,1,0,209,195,13,1,0,0,1726,1600,876,4,707,7,1,5,126,121,5,0,0,0,1726,46,1680,1560,861,4,687,7,1,0,120,115,5,0,0,0,1771,913,858
02,110,050,0500000US02110,00,Juneau City and Borough,02,110,,,,,,,,,,31275,28308,21814,279,3692,1919,218,386,2967,2541,397,19,10,0,31275,1588,29687,26990,21065,259,3534,1879,213,40,2697,2334,341,12,10,0,23939,22375,17616,221,2691,1420,136,291,1564,1404,151,7,2,0,23939,1008,22931,21485,17107,205,2609,1401,134,29,1446,1308,131,5,2,0,13055,12187,868
02,122,050,0500000US02122,00,Kenai Peninsula Borough,02,122,,,,,,,,,,55400,52293,46857,269,4081,631,119,336,3107,2923,165,14,5,0,55400,1641,53759,50901,45879,248,3970,614,111,79,2858,2696,146,12,4,0,42289,40600,36578,217,2966,507,94,238,1689,1621,59,6,3,0,42289,1045,41244,39680,35939,203,2900,496,91,51,1564,1503,53,6,2,0,30578,22161,8417
02,130,050,0500000US02130,00,Ketchikan Gateway Borough,02,130,,,,,,,,,,13477,12227,9176,78,1910,943,27,93,1250,1179,58,13,0,0,13477,538,12939,11799,8918,76,1831,936,24,14,1140,1073,55,12,0,0,10250,9629,7389,66,1362,716,21,75,621,593,24,4,0,0,10250,314,9936,9352,7228,64,1318,711,19,12,584,556,24,4,0,0,6166,5305,861
02,150,050,0500000US02150,00,Kodiak Island Borough,02,150,,,,,,,,,,13592,12555,7522,92,1797,2660,87,397,1037,957,69,9,2,0,13592,996,12596,11701,7137,85,1759,2620,86,14,895,835,53,5,2,0,9698,9184,5664,72,1226,1893,63,266,514,489,19,4,2,0,9698,578,9120,8653,5433,68,1207,1873,62,10,467,446,17,2,2,0,5303,4630,673
02,164,050,0500000US02164,00,Lake and Peninsula Borough,02,164,,,,,,,,,,1631,1467,380,9,1061,6,5,6,164,160,3,1,0,0,1631,43,1588,1426,362,9,1044,6,5,0,162,158,3,1,0,0,1139,1059,306,2,740,6,2,3,80,79,1,0,0,0,1139,15,1124,1044,299,2,735,6,2,0,80,79,1,0,0,0,1502,553,949
02,170,050,0500000US02170,00,Matanuska-Susitna Borough,02,170,,,,,,,,,,88995,83254,75540,856,4901,1096,221,640,5741,5308,394,30,9,0,88995,3301,85694,80638,73676,817,4735,1075,214,121,5056,4714,311,24,7,0,63276,60495,55171,631,3270,806,153,464,2781,2616,152,6,7,0,63276,1863,61413,58911,54097,611,3181,791,150,81,2502,2369,124,4,5,0,41329,31824,9505
02,180,050,0500000US02180,00,Nome Census Area,02,180,,,,,,,,,,9492,8905,1552,27,7199,96,9,22,587,559,25,3,0,0,9492,115,9377,8818,1511,27,7175,88,9,8,559,534,22,3,0,0,6233,5954,1333,21,4498,80,5,17,279,269,8,2,0,0,6233,69,6164,5898,1301,21,4490,75,5,6,266,257,7,2,0,0,4008,2815,1193
02,185,050,0500000US02185,00,North Slope Borough,02,185,,,,,,,,,,9430,8937,3147,94,5100,425,104,67,493,466,26,1,0,0,9430,249,9181,8720,3059,91,5046,414,103,7,461,436,24,1,0,0,7179,6940,3000,87,3355,357,80,61,239,232,7,0,0,0,7179,178,7001,6782,2929,85,3334,348,79,7,219,213,6,0,0,0,2500,2029,471
02,188,050,0500000US02188,00,Northwest Arctic Borough,02,188,,,,,,,,,,7523,7075,846,37,6121,42,12,17,448,432,15,1,0,0,7523,58,7465,7024,830,35,6102,42,12,3,441,425,15,1,0,0,4868,4641,746,30,3807,38,6,14,227,223,4,0,0,0,4868,36,4832,4608,733,28,3800,38,6,3,224,220,4,0,0,0,2707,1919,788
